"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "Markdown", "PostCSS", "TypeScript", "JSON with Comments", "TypeScript JSX", "Python", "XML", "HTML", "Docker", "C++", "comment", "blank", "total"
"e:\wireup.ai - new\INGESTION\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\wireup.ai - new\INGESTION\frontend\src\pages\AdminIngestionPage.css", "PostCSS", 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 173
"e:\wireup.ai - new\INGESTION\frontend\src\pages\AdminIngestionPage.jsx", "JavaScript JSX", 0, 0, 602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 648
"e:\wireup.ai - new\INGESTION\frontend\vite.config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\wireup.ai - new\INGESTION\makeme.md", "Markdown", 0, 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 584, 845
"e:\wireup.ai - new\WireUp-hackathon-\DESIGN-claude (1).md", "Markdown", 0, 0, 0, 505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 590
"e:\wireup.ai - new\WireUp-hackathon-\backend\data\componentRegistry.json", "JSON", 0, 560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 560
"e:\wireup.ai - new\WireUp-hackathon-\backend\package.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\agents\discovery\discovery.agent.ts", "TypeScript", 0, 0, 0, 0, 0, 406, 0, 0, 0, 0, 0, 0, 0, 3, 66, 475
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\agents\discovery\discovery.prompts.ts", "TypeScript", 0, 0, 0, 0, 0, 574, 0, 0, 0, 0, 0, 0, 0, 1, 16, 591
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\agents\discovery\discovery.utils.ts", "TypeScript", 0, 0, 0, 0, 0, 1329, 0, 0, 0, 0, 0, 0, 0, 2, 181, 1512
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\agents\discovery\index.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\agents\shared\adapters.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\agents\shared\jsonRepair.ts", "TypeScript", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 3, 42, 255
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\agents\shared\keyRotation.service.ts", "TypeScript", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 3, 20, 103
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\controllers\auth.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 1, 39, 193
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\controllers\chat.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 6, 14, 94
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\controllers\generate.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 329, 0, 0, 0, 0, 0, 0, 0, 14, 27, 370
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\controllers\googleAuth.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 11, 14, 89
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\controllers\newflow.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 663, 0, 0, 0, 0, 0, 0, 0, 135, 97, 895
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\controllers\project.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 5, 17, 102
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\controllers\questions.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 13, 16, 184
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\controllers\voice.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 3, 21, 131
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\index.ts", "TypeScript", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 7, 16, 94
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\lib\db.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\lib\llm.ts", "TypeScript", 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 22, 26, 228
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\lib\whisper.manager.ts", "TypeScript", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 12, 21, 137
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\middleware\auth.middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 12, 65
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\models\project.model.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\models\user.model.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 3, 32
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\routes\auth.route.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 8, 32
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\routes\chat.route.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 5, 14
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\routes\generate.route.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\routes\newflow.route.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 4, 37
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\routes\project.route.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\routes\questions.route.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\routes\voice.route.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 4, 15
"e:\wireup.ai - new\WireUp-hackathon-\backend\src\services\voice.service.ts", "TypeScript", 0, 0, 0, 0, 0, 382, 0, 0, 0, 0, 0, 0, 0, 5, 59, 446
